protocol,t,repair,store
replicated,31276800,4,3
replicated,31363200,4,3
replicated,31449600,4,3
replicated,31536000,4,3
replicated,31622400,4,3
replicated,31708800,4,3
replicated,31795200,4,3
replicated,31881600,4,3
replicated,31968000,4,3
replicated,32054400,4,3
replicated,32140800,4,3
replicated,32227200,4,3
replicated,32313600,4,3
replicated,32400000,4,3
replicated,32486400,4,3
replicated,32572800,4,3
replicated,32659200,4,3
replicated,32745600,4,3
replicated,32832000,4,3
replicated,32918400,4,3
replicated,33004800,5,3
replicated,33091200,5,3
replicated,33177600,5,3
replicated,33264000,5,3
replicated,33350400,5,3
replicated,33436800,5,3
replicated,33523200,5,3
replicated,33609600,5,3
replicated,33696000,5,3
replicated,33782400,5,3
replicated,33868800,5,3
replicated,33955200,5,3
replicated,34041600,5,3
replicated,34128000,5,3
replicated,34214400,5,3
replicated,34300800,5,3
replicated,34387200,5,3
replicated,34473600,5,3
replicated,34560000,5,3
replicated,34646400,5,3
replicated,34732800,5,3
replicated,34819200,5,3
replicated,34905600,6,3
replicated,34992000,6,3
replicated,35078400,6,3
replicated,35164800,6,3
replicated,35251200,6,3
replicated,35337600,6,3
replicated,35424000,6,3
replicated,35510400,6,3
replicated,35596800,6,3
replicated,35683200,6,3
replicated,35769600,6,3
replicated,35856000,6,3
replicated,35942400,6,3
replicated,36028800,6,3
replicated,36115200,6,3
replicated,36201600,6,3
replicated,36288000,6,3
replicated,36374400,6,3
replicated,36460800,6,3
replicated,36547200,6,3
replicated,36633600,6,3
replicated,36720000,6,3
replicated,36806400,6,3
replicated,36892800,6,3
replicated,36979200,6,3
replicated,37065600,6,3
replicated,37152000,6,3
replicated,37238400,6,3
replicated,37324800,6,3
replicated,37411200,6,3
replicated,37497600,6,3
replicated,37584000,6,3
replicated,37670400,6,3
replicated,37756800,6,3
replicated,37843200,6,3
replicated,37929600,6,3
replicated,38016000,6,3
replicated,38102400,6,3
replicated,38188800,6,3
replicated,38275200,6,3
replicated,38361600,6,3
replicated,38448000,6,3
replicated,38534400,6,3
replicated,38620800,6,3
replicated,38707200,6,3
replicated,38793600,6,3
replicated,38880000,6,3
replicated,38966400,6,3
replicated,39052800,6,3
replicated,39139200,6,3
replicated,39225600,6,3
replicated,39312000,6,3
replicated,39398400,6,3
replicated,39484800,6,3
replicated,39571200,6,3
replicated,39657600,6,3
replicated,39744000,6,3
replicated,39830400,6,3
replicated,39916800,6,3
replicated,40003200,6,3
replicated,40089600,6,3
replicated,40176000,6,3
replicated,40262400,6,3
replicated,40348800,6,3
replicated,40435200,6,3
replicated,40521600,6,3
replicated,40608000,6,3
replicated,40694400,6,3
replicated,40780800,6,3
replicated,40867200,6,3
replicated,40953600,6,3
replicated,41040000,6,3
replicated,41126400,6,3
replicated,41212800,6,3
replicated,41299200,6,3
replicated,41385600,6,3
replicated,41472000,7,3
replicated,41558400,7,3
replicated,41644800,7,3
replicated,41731200,7,3
replicated,41817600,7,3
replicated,41904000,7,3
replicated,41990400,7,3
replicated,42076800,7,3
replicated,42163200,7,3
replicated,42249600,7,3
replicated,42336000,7,3
replicated,42422400,7,3
replicated,42508800,7,3
replicated,42595200,7,3
replicated,42681600,7,3
replicated,42768000,7,3
replicated,42854400,7,3
replicated,42940800,7,3
replicated,43027200,7,3
replicated,43113600,7,3
replicated,43200000,7,3
replicated,43286400,7,3
replicated,43372800,7,3
replicated,43459200,7,3
replicated,43545600,7,3
replicated,43632000,7,3
replicated,43718400,7,3
replicated,43804800,7,3
replicated,43891200,7,3
replicated,43977600,7,3
replicated,44064000,7,3
replicated,44150400,7,3
replicated,44236800,7,3
replicated,44323200,7,3
replicated,44409600,7,3
replicated,44496000,7,3
replicated,44582400,7,3
replicated,44668800,7,3
replicated,44755200,7,3
replicated,44841600,7,3
replicated,44928000,7,3
replicated,45014400,7,3
replicated,45100800,7,3
replicated,45187200,7,3
replicated,45273600,7,3
replicated,45360000,7,3
replicated,45446400,7,3
replicated,45532800,7,3
replicated,45619200,7,3
replicated,45705600,7,3
replicated,45792000,7,3
replicated,45878400,7,3
replicated,45964800,7,3
replicated,46051200,7,3
replicated,46137600,7,3
replicated,46224000,7,3
replicated,46310400,7,3
