protocol,#peer,AFR,#object,repair
entropy-0.75,10000,1,1000,33317.547
entropy-0.75,10000,1,1000,33235.688
entropy-0.75,10000,1,1000,32835.72
entropy-0.75,10000,1,1000,33422.156
entropy-0.75,10000,1,1000,32858.5
entropy-0.75,10000,1,1000,33004.92
entropy-1,10000,1,1000,1989.25
entropy-1,10000,1,1000,1986.8594
entropy-1,10000,1,1000,1993.2188
entropy-1,10000,1,1000,1985.0156
entropy-1,10000,1,1000,1989.6406
entropy-1,10000,1,1000,1975.8281
entropy-1,10000,1,1000,1982.9375
entropy-1,10000,1,1000,1987.6875
entropy-1,10000,1,1000,1987.5
entropy-1,10000,1,1000,1981.5156
entropy-0.75,100000,1,1000,33466.234
entropy-0.75,100000,1,1000,33668.344
entropy-0.75,100000,1,1000,33355.063
entropy-0.75,100000,1,1000,33396.92
entropy-0.75,100000,1,1000,33563.063
entropy-0.75,100000,1,1000,33404.156
entropy-0.75,100000,1,1000,33333.266
entropy-0.75,100000,1,1000,33561.313
entropy-0.75,100000,1,1000,33454.563
entropy-0.75,100000,1,1000,33372.703
entropy-0.5,100000,1,1000,65439.047
entropy-0.5,100000,1,1000,64931.375
entropy-0.5,100000,1,1000,64994.844
entropy-0.5,100000,1,1000,64619.734
entropy-0.5,100000,1,1000,64736.797
entropy-0.5,100000,1,1000,65199.89
entropy-0.5,100000,1,1000,65170.14
entropy-0.5,100000,1,1000,65174.516
entropy-0.5,100000,1,1000,64748.625
entropy-0.5,100000,1,1000,64580.344
entropy-0.25,100000,1,1000,96378.69
entropy-0.25,100000,1,1000,96729.375
entropy-0.25,100000,1,1000,96382.16
entropy-0.25,100000,1,1000,96107.92
entropy-0.25,100000,1,1000,96531.34
entropy-0.25,100000,1,1000,96127.53
entropy-0.25,100000,1,1000,96555.19
entropy-0.25,100000,1,1000,96521.3
entropy-0.25,100000,1,1000,96663.69
entropy-0.25,100000,1,1000,96136.45
entropy-0,100000,1,1000,127829
entropy-0,100000,1,1000,127792
entropy-0,100000,1,1000,127859
entropy-0,100000,1,1000,128193
entropy-0,100000,1,1000,127724
entropy-0,100000,1,1000,128442
entropy-0,100000,1,1000,127413
entropy-0,100000,1,1000,127851
entropy-0,100000,1,1000,128116
entropy-0,100000,1,1000,128207
entropy-0,100000,1,10000,1278427
entropy-0,100000,1,10000,1280817
entropy-0,100000,1,10000,1281426
entropy-0,100000,1,10000,1276965
entropy-0,100000,1,10000,1279206
entropy-0,100000,1,10000,1279467
entropy-0,100000,1,10000,1280586
entropy-0,100000,1,10000,1279068
entropy-0,100000,1,10000,1280652
entropy-0,100000,1,10000,1279829
entropy-0.25,100000,1,10000,960705.2
entropy-0.25,100000,1,10000,962323.44
entropy-0.25,100000,1,10000,960475.6
entropy-0.25,100000,1,10000,960875.75
entropy-0.25,100000,1,10000,960828.56
entropy-0.25,100000,1,10000,962127.4
entropy-0.25,100000,1,10000,959434.06
entropy-0.25,100000,1,10000,960447.25
entropy-0.25,100000,1,10000,961867.6
entropy-0.25,100000,1,10000,962485.1
entropy-0.5,100000,1,10000,644135.94
entropy-0.5,100000,1,10000,644438.1
entropy-0.5,100000,1,10000,644215
entropy-0.5,100000,1,10000,644862.75
entropy-0.5,100000,1,10000,643289.9
entropy-0.5,100000,1,10000,644233.4
entropy-0.5,100000,1,10000,643788.7
entropy-0.5,100000,1,10000,644245.5
entropy-0.5,100000,1,10000,643115.4
entropy-0.5,100000,1,10000,644591.75
entropy-0.75,100000,1,10000,331629.94
entropy-0.75,100000,1,10000,331360.25
entropy-0.75,100000,1,10000,331279.3
entropy-0.75,100000,1,10000,331214.8
entropy-0.75,100000,1,10000,331607.3
entropy-0.75,100000,1,10000,331783.13
entropy-0.75,100000,1,10000,331293.8
entropy-0.75,100000,1,10000,331648.56
entropy-0.75,100000,1,10000,332027.56
entropy-0.75,100000,1,10000,331764.75
entropy-1,100000,1,10000,20017.578
entropy-1,100000,1,10000,19968.313
entropy-1,100000,1,10000,19963.766
entropy-1,100000,1,10000,19993.234
entropy-1,100000,1,10000,19943.172
entropy-1,100000,1,10000,19994.14
entropy-1,100000,1,10000,20009.75
entropy-1,100000,1,10000,19974.531
entropy-1,100000,1,10000,19997.422
entropy-1,100000,1,10000,19982.453
entropy-1,100000,0.5,1000,791.28125

entropy-1,100000,0.5,1000,797.1406
entropy-1,100000,0.5,1000,826.4531
entropy-1,100000,0.5,1000,825.90625
entropy-1,100000,0.5,1000,822.0781
entropy-1,100000,0.5,1000,832.5469
entropy-1,100000,0.5,1000,851.3281
entropy-1,100000,0.5,1000,834.3594
entropy-1,100000,0.5,1000,881.2656
entropy-1,100000,0.5,1000,874.5625
entropy-1,100000,2,1000,3776.0469
entropy-1,100000,2,1000,3778.6875
entropy-1,100000,2,1000,3783.8594
entropy-1,100000,2,1000,3819.1719
